neighborhood,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024
Bombo Town Council,11129.063955053687,11488.213573887944,11915.318772599101,12333.721765220165,12739.232162609696,13146.251655485481,13541.57702717185,13950.95173996687,14313.836753483862,14678.795417010784
Buikwe,24175.35968361795,24941.91331508942,25845.28752283193,26748.260324250907,27662.50014153309,28631.556157093495,29582.54704598151,30554.48552789353,31445.559494279325,32349.127741146833
Buikwe Town Council,16126.445398077369,16641.676605402492,17251.70860833116,17852.426825277507,18466.795523827896,19095.516202511266,19726.0557593666,20369.14258763008,20959.89687166363,21554.10203865543
Bunamwaya Division,70475.11510387063,72702.32161769271,75355.07368761301,77946.85147857666,80457.52980458736,83139.80121339113,85734.97992948443,88331.43451653421,90652.2571181953,93014.65184572339
Busukuma Division,78642.20111626387,81117.78468212765,84046.18991319649,87052.9640114829,90232.88175174221,93586.16079235915,96983.53105653264,100488.46363586746,103725.38197471015,107089.42219419405
Busunju Town Council,6776.302307650447,6993.560462713242,7246.803474955261,7496.3822570592165,7745.89344214648,8021.74918246083,8283.07316481322,8547.77268795669,8796.152288931422,9040.841154003516
Bweyogerere Division,99236.36129967868,102347.04322196543,106062.96230559051,109688.84371741116,113217.63707454503,116990.46702038497,120580.46040729806,124273.62202487141,127538.78393086046,130916.49408762902
Central Division,218273.5320724547,225178.09365207702,233308.16232267022,241524.91087777168,249696.59321667068,258449.71985385288,266897.5827503223,275485.3196323365,283259.70391717926,291097.9352920186
Division A,64335.538369096816,66313.68912956119,68619.73184509575,70925.20660060644,73115.9071174562,75470.11112328246,77685.18572963029,79880.65716326982,81882.60238592327,83868.82368702441
Division B,40153.86531030387,41345.75023728609,42737.099301055074,44151.0023521781,45520.594223976135,46991.670823713765,48396.61856531352,49788.11456760764,51065.18360357359,52332.96877013892
Goma Division,114661.9890262112,118379.407541994,122836.94042992592,127350.02501642983,131873.8026903486,136750.22160516866,141457.22959623113,146358.49255383387,150762.29642453045,155207.25386973936
