neighborhood,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
Bombo Town Council,16902.621637821198,17308.430315971375,17753.481951713562,18175.524587869644,18841.533012390137,19285.928930282593,19711.96343922615,20162.936509609222,20771.596527576447,21293.611495494843,21724.67231631279,22323.776834487915,22862.893092870712,23405.71643137932,23993.74759912491,24576.888225078583,25157.64922761917,25711.54532647133,26330.178772687912,27002.70431661606,27667.357665538788
Buikwe,13026.510100245476,13559.003198325634,13837.279310166836,14144.784376621246,14433.956013262272,14702.156059980392,15007.452240943909,15357.25708758831,15671.59487658739,16014.695574223995,16318.689793229103,16646.49935209751,17011.296773850918,17409.3748062253,17810.492597579956,18167.29952788353,18518.809195280075,18909.465555787086,19299.181719064713,19709.95102727413,20114.557072520256
Buikwe Town Council,12265.622959434986,12588.842857599258,12867.016318261623,13164.453089654446,13395.551584482193,13776.824939966202,14083.670408964157,14343.062321424484,14637.00052022934,14922.552120566368,15175.57526564598,15570.832088947296,15932.201226830482,16291.072741150856,16603.2236443758,16980.69743013382,17246.526764512062,17582.712831497192,17969.674429535866,18312.20571887493,18710.100732326508
Bunamwaya Division,29869.013912200928,31096.53421163559,32024.303878307343,32903.23785972595,35182.22239971161,37509.24353694916,39268.64521884918,41576.43535423279,44875.6245470047,47124.17331123352,51445.43748950958,53384.3750371933,56939.09627914429,61496.818437576294,63656.39021110535,69012.99728393555,73467.59179878235,77786.21120262146,83186.30257225037,87837.95145988464,92480.84032058716
Busukuma Division,15867.8882650733,16997.752811849117,18185.093519449234,19428.744610011578,20670.388831615448,22153.299167990685,23756.3118891716,25264.67009204626,27002.245816886425,28882.59448438883,30644.50221258402,32838.822270452976,34951.6833037138,37153.952647566795,39773.407202005386,42326.263639211655,45259.37272489071,48235.04859983921,51566.35616338253,55049.13656938076,58765.542040228844
Busunju Town Council,9062.402011215687,10029.955102324486,10599.728982329369,10604.445824086666,10553.435164093971,10824.325385332108,10847.676919102669,10607.93086862564,10413.652663350105,10411.821414709091,10373.429967164993,10574.520476996899,11211.677530109882,11281.49901932478,11676.576692938805,11875.778116464615,12257.53574681282,12425.763097405434,12732.819347023964,12666.783635258675,13259.59650361538
Bweyogerere Division,40016.82402050495,41645.77876532078,45152.01013433933,48056.658331632614,52658.22370123863,55642.65226781368,59159.57817542553,63671.33348727226,66872.21429669857,71736.34192276001,74967.07170450687,80034.00027751923,84330.43644726276,88985.84518778324,94404.75878596306,100103.64673137665,107617.90773487091,112947.17667782307,120893.16115665436,129519.36969935894,136968.34827506542
Central Division,162794.2430215478,166440.3423805833,170016.32548373938,173670.81616681814,177189.3743594885,181142.90988206863,184845.99296808243,188776.26437687874,192758.87066453695,196984.61617803574,201423.72617578506,206430.8350764513,210929.34611660242,215945.09401845932,220304.79090237617,225511.18078774214,230480.0559270382,235246.73707008362,240487.87741416693,245767.61208170652,251129.77579593658
Division A,15330.288395524025,16409.813533306122,17539.632432937622,18854.245359182358,20071.1079287529,21486.75526702404,22908.172271609306,24431.77683544159,26049.752360105515,27813.921233177185,29726.743216514587,31781.74817633629,34074.7247569561,36331.08406662941,38589.49627614021,41207.94579529762,44073.307176589966,47017.29591536522,50209.04981970787,53642.5713198185,57168.1532292366
Division B,12725.408803641796,13547.610501676798,14449.946188598871,15377.886970937252,16477.45584577322,17540.067050606012,18771.9396995306,20081.501377761364,21499.15268549323,22934.776783049107,24451.626073360443,26084.22457331419,27763.98278683424,29698.130159318447,31850.92502504587,34055.90786784887,36306.41501778364,38784.37510961294,41381.34702980518,44165.15241116285,47239.168989896774
